bin	chr	sta1	end1	len1
1	1	717	2350.5	1633.5
2	1	2350.5	259449.5	257099
3	1	259449.5	606385	346935.5
4	1	606385	612082	5697
5	1	612082	673543	61461
6	1	673543	833073	159530
7	1	833073	991203	158130
8	1	991203	1179517.5	188314.5
9	1	1179517.5	1532391.5	352874
10	1	1532391.5	1600436.5	68045
11	1	1600436.5	1756189	155752.5
12	1	1756189	1756314.5	125.5
13	1	1756314.5	1756883.5	569
14	1	1756883.5	1792781.5	35898
15	1	1792781.5	1802960.5	10179
16	1	1802960.5	1807534	4573.5
17	1	1807534	1811922	4388
18	1	1811922	1822878.5	10956.5
19	1	1822878.5	1850579	27700.5
20	1	1850579	1928678.5	78099.5
21	1	1928678.5	1928708	29.5
22	1	1928708	1928943.5	235.5
23	1	1928943.5	1929089	145.5
24	1	1929089	1929250.5	161.5
25	1	1929250.5	2009594	80343.5
26	1	2009594	2009896	302
27	1	2009896	2009930	34
28	1	2009930	2010202.5	272.5
29	1	2010202.5	2013966.5	3764
30	1	2013966.5	2015054	1087.5
31	1	2015054	2071782.5	56728.5
32	1	2071782.5	2202627.5	130845
33	1	2202627.5	2235707	33079.5
34	1	2235707	2277024	41317
35	1	2277024	2328055.5	51031.5
36	1	2328055.5	2685375.5	357320
37	1	2685375.5	2686349.5	974
38	1	2686349.5	2687306	956.5
39	1	2687306	2688264.5	958.5
40	1	2688264.5	2729192	40927.5
41	1	2729192	2733711.5	4519.5
42	1	2733711.5	2737865	4153.5
43	1	2737865	2739535.5	1670.5
44	1	2739535.5	2755257	15721.5
45	1	2755257	2861394	106137
46	1	2861394	2866032.5	4638.5
47	1	2866032.5	2867653	1620.5
48	1	2867653	2888862.5	21209.5
49	1	2888862.5	2888936	73.5
50	1	2888936	2891691.5	2755.5
51	1	2891691.5	2892780.5	1089
52	1	2892780.5	2893227	446.5
53	1	2893227	3007119.5	113892.5
54	1	3007119.5	3013626	6506.5
55	1	3013626	3018433	4807
56	1	3018433	3025507	7074
57	1	3025507	3025635	128
58	1	3025635	3025939.5	304.5
59	1	3025939.5	3026123	183.5
60	1	3026123	3026212	89
61	1	3026212	3026975.5	763.5
62	1	3026975.5	3078309.5	51334
63	1	3078309.5	3126741.5	48432
64	1	3126741.5	3148956.5	22215
65	1	3148956.5	3176310	27353.5
66	1	3176310	3176916.5	606.5
67	1	3176916.5	3177030.5	114
68	1	3177030.5	3182688	5657.5
69	1	3182688	3205990	23302
70	1	3205990	3268135	62145
71	1	3268135	3269820.5	1685.5
72	1	3269820.5	3277749.5	7929
73	1	3277749.5	3315585	37835.5
74	1	3315585	3353470.5	37885.5
75	1	3353470.5	3356657	3186.5
76	1	3356657	3429341.5	72684.5
77	1	3429341.5	3434817.5	5476
78	1	3434817.5	3438717.5	3900
79	1	3438717.5	3498925	60207.5
80	1	3498925	3556290	57365
81	1	3556290	3574214.5	17924.5
82	1	3574214.5	3691793.5	117579
83	1	3691793.5	3808859	117065.5
84	1	3808859	3826843	17984
85	1	3826843	3889726.5	62883.5
86	1	3889726.5	3889759	32.5
87	1	3889759	3894748.5	4989.5
88	1	3894748.5	4018653.5	123905
89	1	4018653.5	4018735.5	82
90	1	4018735.5	4018739.5	4
91	1	4018739.5	4059317	40577.5
92	1	4059317	4086852	27535
93	1	4086852	4129601.5	42749.5
94	1	4129601.5	4134071	4469.5
95	1	4134071	4139821	5750
96	1	4139821	4145186.5	5365.5
97	1	4145186.5	4145298	111.5
98	1	4145298	4145413.5	115.5
99	1	4145413.5	4147335	1921.5
100	1	4147335	4150501	3166
101	1	4150501	4173429	22928
102	1	4173429	4249771	76342
103	1	4249771	4249804.5	33.5
104	1	4249804.5	4249939.5	135
105	1	4249939.5	4257017.5	7078
106	1	4257017.5	4301928.5	44911
107	1	4301928.5	4495143.5	193215
108	1	4495143.5	4574518.5	79375
109	1	4574518.5	4603024.5	28506
110	1	4603024.5	4605231.5	2207
111	1	4605231.5	4660260	55028.5
112	1	4660260	4713213.5	52953.5
113	1	4713213.5	4716720.5	3507
114	1	4716720.5	4716832.5	112
115	1	4716832.5	4793495.5	76663
116	1	4793495.5	4976902	183406.5
117	1	4976902	4976932	30
118	1	4976932	4980564.5	3632.5
119	1	4980564.5	4980806.5	242
120	1	4980806.5	5007105.5	26299
121	1	5007105.5	5141264.5	134159
122	1	5141264.5	5249335	108070.5
123	1	5249335	5249351	16
124	1	5249351	5249357.5	6.5
125	1	5249357.5	5249400.5	43
126	1	5249400.5	5320754.5	71354
127	1	5320754.5	5320784	29.5
128	1	5320784	5350643	29859
129	1	5350643	5378475.5	27832.5
130	1	5378475.5	5430366	51890.5
131	1	5430366	5430383.5	17.5
132	1	5430383.5	5430401.5	18
133	1	5430401.5	5430562.5	161
134	1	5430562.5	5430716.5	154
135	1	5430716.5	5448210	17493.5
136	1	5448210	5491583	43373
137	1	5491583	5535068	43485
138	1	5535068	5737717.5	202649.5
139	1	5737717.5	5743019	5301.5
140	1	5743019	5744127.5	1108.5
141	1	5744127.5	5780813	36685.5
142	1	5780813	6001412.5	220599.5
143	1	6001412.5	6004721	3308.5
144	1	6004721	6012862.5	8141.5
145	1	6012862.5	6013609	746.5
146	1	6013609	6045391.5	31782.5
147	1	6045391.5	6062038	16646.5
148	1	6062038	6167842.5	105804.5
149	1	6167842.5	6179242.5	11400
150	1	6179242.5	6191336	12093.5
151	1	6191336	6203349.5	12013.5
152	1	6203349.5	6230429.5	27080
153	1	6230429.5	6239043.5	8614
154	1	6239043.5	6239417.5	374
155	1	6239417.5	6239468	50.5
156	1	6239468	6244232	4764
157	1	6244232	6244565	333
158	1	6244565	6429132.5	184567.5
159	1	6429132.5	6575467	146334.5
160	1	6575467	6721703.5	146236.5
161	1	6721703.5	6838536.5	116833
162	1	6838536.5	6841587.5	3051
163	1	6841587.5	6843409	1821.5
164	1	6843409	6843530	121
165	1	6843530	6883944.5	40414.5
